maze_id,bfs_length,dfs_length,astar_length,llm_length,llm_success,bfs_time,dfs_time,astar_time
0,29,31,29,0,False,0.00013327598571777344,0.00013184547424316406,0.00015354156494140625
1,21,23,21,0,False,0.00011014938354492188,0.00011396408081054688,8.535385131835938e-05
2,21,35,21,0,False,0.00019931793212890625,0.0001952648162841797,0.0002968311309814453
3,21,21,21,0,False,0.00022268295288085938,0.0002014636993408203,0.00035572052001953125
4,29,37,29,0,False,0.00019121170043945312,0.00018334388732910156,0.0003058910369873047
