maze_id,bfs_length,dfs_length,astar_length,llm_length,llm_success,bfs_time,dfs_time,astar_time
0,29,31,29,0,False,0.00019407272338867188,0.00018286705017089844,0.00019741058349609375
1,21,23,21,0,False,0.00022125244140625,0.0002148151397705078,0.00017547607421875
2,21,35,21,0,False,0.00011324882507324219,0.00010991096496582031,0.00016427040100097656
3,21,21,21,0,False,0.0001652240753173828,0.00014853477478027344,0.00024127960205078125
4,29,37,29,0,False,0.0002944469451904297,0.00023698806762695312,0.0004336833953857422
