maze_id,bfs_length,dfs_length,astar_length,llm_length,llm_success,bfs_time,dfs_time,astar_time,llm_time
0,29,31,29,0,False,0.00015401840209960938,0.0001475811004638672,0.00016045570373535156,6.7719457149505615
1,21,23,21,21,True,0.00036263465881347656,0.0003058910369873047,0.00022149085998535156,3.4035451412200928
2,21,35,21,25,True,0.00035190582275390625,0.00029206275939941406,0.0004696846008300781,6.612376928329468
3,21,21,21,21,True,0.00019550323486328125,0.00015592575073242188,0.00025200843811035156,29.92789101600647
4,29,37,29,0,False,0.00029277801513671875,0.0002682209014892578,0.0004630088806152344,17.75356388092041
